EVM,EQEE,EQPE,ETM,SVM,E11,E22,E33,E23,E13,E12,S11,S22,S33,S23,S13,S12,TempK,EQSR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0
0.000944056,0.000944015,3.01565e-08,0,87.3032,-0.00035761,-0.000357565,0.001,1.74491e-08,-4.6648e-09,-1.27591e-08,0,0,87.3032,0,0,0,293,4.72026e+07
0.00188809,0.00188796,9.67035e-08,0,174.578,-0.000715031,-0.000714943,0.002,3.48841e-08,-9.32582e-09,-2.55098e-08,0,0,174.578,0,0,0,293,4.72016e+07
0.00283211,0.00283183,1.98392e-07,0,261.82,-0.00107222,-0.00107209,0.003,5.22999e-08,-1.39817e-08,-3.82526e-08,0,0,261.82,0,0,0,293,4.72007e+07
0.0037761,0.00377564,3.22088e-07,0,349.036,-0.00142922,-0.00142905,0.004,6.9703e-08,-1.86343e-08,-5.09883e-08,0,0,349.036,0,0,0,293,4.71997e+07
0.00472008,0.0047194,4.6268e-07,0,436.224,-0.00178603,-0.00178581,0.005,8.70943e-08,-2.32837e-08,-6.37173e-08,0,0,436.224,0,0,0,293,4.71988e+07
0.00566403,0.0056631,6.19014e-07,0,523.387,-0.00214265,-0.00214239,0.006,1.04425e-07,-2.79403e-08,-7.6436e-08,0,0,523.387,0,0,0,293,4.71978e+07
0.00660797,0.00660676,7.92726e-07,0,610.523,-0.00249908,-0.00249877,0.007,1.21703e-07,-3.25927e-08,-8.91438e-08,0,0,610.523,0,0,0,293,4.71969e+07
0.00755189,0.00755036,9.87542e-07,0,697.633,-0.00285532,-0.00285497,0.008,1.39278e-07,-3.72107e-08,-1.01842e-07,0,0,697.633,0,0,0,293,4.7196e+07
0.00849579,0.00849391,1.20938e-06,0,784.715,-0.00321137,-0.00321098,0.009,1.57032e-07,-4.18239e-08,-1.14529e-07,0,0,784.715,0,0,0,293,4.71951e+07
0.00943967,0.00943738,1.46681e-06,0,871.77,-0.00356724,-0.0035668,0.01,1.74562e-07,-4.65724e-08,-1.27204e-07,0,0,871.77,0,0,0,293,4.71942e+07
0.0103835,0.0103808,1.77191e-06,0,958.796,-0.00392292,-0.00392243,0.011,1.91906e-07,-5.13307e-08,-1.39868e-07,0,0,958.796,0,0,0,293,4.71933e+07
0.0113274,0.0113241,2.14174e-06,0,1045.79,-0.00427841,-0.00427788,0.012,2.09278e-07,-5.59784e-08,-1.52508e-07,0,0,1045.79,0,0,0,293,4.71924e+07
0.0122712,0.0122672,2.60059e-06,0,1132.75,-0.00463373,-0.00463315,0.013,2.26608e-07,-6.05263e-08,-1.65106e-07,0,0,1132.75,0,0,0,293,4.71916e+07
0.013215,0.0132103,3.18356e-06,0,1219.68,-0.00498887,-0.00498825,0.014,2.43706e-07,-6.50003e-08,-1.77883e-07,0,0,1219.68,0,0,0,293,4.71908e+07
0.0141588,0.0141531,3.94213e-06,0,1306.57,-0.00534384,-0.00534318,0.015,2.60755e-07,-6.94269e-08,-1.90646e-07,0,0,1306.57,0,0,0,293,4.719e+07
0.0151026,0.0150957,4.95306e-06,0,1393.41,-0.00569866,-0.00569796,0.016,2.77754e-07,-7.37699e-08,-2.03334e-07,0,0,1393.41,0,0,0,293,4.71893e+07
0.0160464,0.0160378,6.33272e-06,0,1480.19,-0.00605334,-0.00605259,0.017,2.94845e-07,-7.81038e-08,-2.15845e-07,0,0,1480.19,0,0,0,293,4.71887e+07
0.0169901,0.0169795,8.26043e-06,0,1566.91,-0.00640791,-0.00640712,0.018,3.12074e-07,-8.24874e-08,-2.28242e-07,0,0,1566.91,0,0,0,293,4.71882e+07
0.0179339,0.0179203,1.10174e-05,0,1653.52,-0.00676241,-0.00676157,0.019,3.29585e-07,-8.6957e-08,-2.40488e-07,0,0,1653.52,0,0,0,293,4.71878e+07
0.0188776,0.0188598,1.50518e-05,0,1740,-0.0071169,-0.00711603,0.02,3.47671e-07,-9.15594e-08,-2.52496e-07,0,0,1740,0,0,0,293,4.71878e+07
0.0198214,0.0197975,2.10905e-05,0,1826.28,-0.0074715,-0.00747058,0.021,3.66872e-07,-9.64629e-08,-2.64119e-07,0,0,1826.28,0,0,0,293,4.71883e+07
0.0207652,0.0207321,3.03324e-05,0,1912.26,-0.00782637,-0.00782542,0.022,3.88306e-07,-1.02093e-07,-2.75185e-07,0,0,1912.26,0,0,0,293,4.71896e+07
0.021709,0.0216617,4.47877e-05,0,1997.76,-0.00818182,-0.00818083,0.023,4.13865e-07,-1.08869e-07,-2.85245e-07,0,0,1997.76,0,0,0,293,4.71922e+07
0.022653,0.0225832,6.7884e-05,0,2082.49,-0.00853835,-0.00853734,0.024,4.47785e-07,-1.18085e-07,-2.93403e-07,0,0,2082.49,0,0,0,293,4.71974e+07
0.0235971,0.0234909,0.00010556,0,2165.94,-0.00889684,-0.00889581,0.025,4.97702e-07,-1.31767e-07,-2.98164e-07,0,0,2165.94,0,0,0,293,4.72075e+07
0.0245416,0.024375,0.000168259,0,2247.19,-0.00925883,-0.0092578,0.026,5.79578e-07,-1.53939e-07,-2.97194e-07,0,0,2247.19,0,0,0,293,4.72275e+07
0.0254867,0.0252179,0.000274607,0,2324.63,-0.00962707,-0.00962608,0.027,7.23969e-07,-1.93057e-07,-2.85915e-07,0,0,2324.63,0,0,0,293,4.72697e+07
0.0264329,0.0259879,0.000458183,0,2395.37,-0.0100065,-0.0100057,0.028,9.89883e-07,-2.65416e-07,-2.55244e-07,0,0,2395.37,0,0,0,293,4.73662e+07
0.0273814,0.0266278,0.00077992,0,2454.13,-0.0104062,-0.0104056,0.029,1.49938e-06,-4.03847e-07,-1.88828e-07,0,0,2454.13,0,0,0,293,4.7607e+07
0.0283344,0.0270334,0.00135015,0,2491.35,-0.0108425,-0.0108423,0.03,2.47739e-06,-6.69588e-07,-5.42549e-08,0,0,2491.35,0,0,0,293,4.82559e+07
0.029297,0.0270199,0.00236504,0,2490.06,-0.0113442,-0.011345,0.031,4.30725e-06,-1.16704e-06,2.13433e-07,0,0,2490.06,0,0,0,293,5.00739e+07
0.0302808,0.0262743,0.00415657,0,2421.49,-0.0119601,-0.0119628,0.032,7.49999e-06,-2.03632e-06,7.47237e-07,0,0,2421.49,0,0,0,293,5.50097e+07
0.0313126,0.0243242,0.00722568,0,2242.13,-0.0127628,-0.0127693,0.033,1.22633e-05,-3.339e-06,1.81925e-06,0,0,2242.13,0,0,0,293,6.6659e+07
0.0324447,0.0206399,0.0121335,0,1903.05,-0.0138313,-0.0138454,0.034,1.69504e-05,-4.64442e-06,3.96929e-06,0,0,1903.05,0,0,0,293,8.76536e+07
0.0337358,0.0152166,0.0188828,0,1403.26,-0.01516,-0.0151885,0.035,1.47312e-05,-4.14311e-06,8.06041e-06,0,0,1403.26,0,0,0,293,1.10782e+08
