EVM,EQEE,EQPE,ETM,SVM,E11,E22,E33,E23,E13,E12,S11,S22,S33,S23,S13,S12,TempK,EQSR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0
0.000566249,8.47875e-05,0.000506658,0,8.57555,-0.000325966,-0.000146088,0.0005,0.000106629,-1.27162e-05,0.000199395,0,0,8.57555,0,0,0,293,9.23136e-05
0.00117948,8.47274e-05,0.00112169,0,8.55786,-0.000683222,-0.00028889,0.001,0.000249678,-2.30957e-05,0.000452771,0,0,8.55786,0,0,0,293,9.22606e-05
0.00179393,8.50698e-05,0.00173622,0,8.56952,-0.00104038,-0.000431692,0.0015,0.000392844,-3.37419e-05,0.000705981,0,0,8.56952,0,0,0,293,9.22572e-05
0.0024089,8.52092e-05,0.00235147,0,8.58599,-0.00139755,-0.000574468,0.002,0.000536667,-4.51096e-05,0.00095921,0,0,8.58599,0,0,0,293,9.22904e-05
0.00302403,8.5592e-05,0.00296958,0,8.5957,-0.00175475,-0.000717241,0.0025,0.000680519,-5.64758e-05,0.00121248,0,0,8.5957,0,0,0,293,9.22966e-05
0.00363915,8.62151e-05,0.00358439,0,8.6571,-0.00211191,-0.000859879,0.003,0.000824924,-6.81823e-05,0.00146535,0,0,8.6571,0,0,0,293,9.22859e-05
0.0042543,8.69276e-05,0.00419919,0,8.72051,-0.00246906,-0.00100252,0.0035,0.00096932,-7.9886e-05,0.00171821,0,0,8.72051,0,0,0,293,9.22839e-05
0.00486948,8.76146e-05,0.00481405,0,8.78967,-0.0028261,-0.00114525,0.004,0.00111399,-9.18615e-05,0.001971,0,0,8.78967,0,0,0,293,9.22871e-05
0.00548466,8.83107e-05,0.00542885,0,8.84741,-0.0031828,-0.00128837,0.0045,0.00125881,-0.00010416,0.00222379,0,0,8.84741,0,0,0,293,9.22852e-05
0.00609985,8.91048e-05,0.00604372,0,8.91242,-0.00353928,-0.00143167,0.005,0.00140387,-0.000116852,0.00247651,0,0,8.91242,0,0,0,293,9.22843e-05
0.00671514,8.99497e-05,0.00665876,0,8.98166,-0.0038957,-0.00157504,0.0055,0.00154928,-0.000129981,0.00272922,0,0,8.98166,0,0,0,293,9.22993e-05
0.0073306,9.08063e-05,0.00727401,0,9.05056,-0.0042521,-0.00171841,0.006,0.00169512,-0.000143585,0.00298197,0,0,9.05056,0,0,0,293,9.23238e-05
0.00794625,9.16543e-05,0.00788949,0,9.11646,-0.00460852,-0.00186177,0.0065,0.00184141,-0.000157672,0.00323476,0,0,9.11646,0,0,0,293,9.23527e-05
0.0085621,9.24859e-05,0.00850519,0,9.1784,-0.00496497,-0.00200512,0.007,0.00198816,-0.000172246,0.00348762,0,0,9.1784,0,0,0,293,9.23833e-05
0.00917816,9.32985e-05,0.00912113,0,9.23616,-0.00532145,-0.00214845,0.0075,0.00213538,-0.000187309,0.00374055,0,0,9.23616,0,0,0,293,9.24145e-05
0.00979442,9.40922e-05,0.0097373,0,9.28985,-0.00567796,-0.00229176,0.008,0.00228306,-0.00020286,0.00399353,0,0,9.28985,0,0,0,293,9.24458e-05
0.0104111,9.47256e-05,0.0103533,0,9.33637,-0.00603454,-0.00243504,0.0085,0.00243168,-0.000219387,0.00424664,0,0,9.33637,0,0,0,293,9.25082e-05
0.0110277,9.55657e-05,0.0109694,0,9.42003,-0.00639101,-0.00257829,0.009,0.00258061,-0.000236466,0.00449957,0,0,9.42003,0,0,0,293,9.25054e-05
0.0116446,9.6408e-05,0.0115856,0,9.50385,-0.0067475,-0.00272153,0.0095,0.00273,-0.000254039,0.00475253,0,0,9.50385,0,0,0,293,9.25335e-05
0.0122616,9.72514e-05,0.0122021,0,9.58772,-0.007104,-0.00286476,0.01,0.00287983,-0.000272107,0.00500553,0,0,9.58772,0,0,0,293,9.2562e-05
0.0128788,9.80959e-05,0.0128188,0,9.67165,-0.00746052,-0.00300796,0.0105,0.00303013,-0.000290669,0.00525857,0,0,9.67165,0,0,0,293,9.25908e-05
0.0134962,9.8941e-05,0.0134356,0,9.75565,-0.00781706,-0.00315115,0.011,0.00318087,-0.000309725,0.00551165,0,0,9.75565,0,0,0,293,9.26199e-05
0.0141138,9.97865e-05,0.0140527,0,9.83984,-0.00817361,-0.00329432,0.0115,0.00333208,-0.000329273,0.00576478,0,0,9.83984,0,0,0,293,9.26503e-05
0.0147316,0.000100633,0.0146699,0,9.92448,-0.00853018,-0.00343748,0.012,0.00348375,-0.000349301,0.006018,0,0,9.92448,0,0,0,293,9.26836e-05
0.0153497,0.000101481,0.0152874,0,10.0096,-0.00888676,-0.00358062,0.0125,0.0036359,-0.000369795,0.00627133,0,0,10.0096,0,0,0,293,9.272e-05
0.015968,0.000102321,0.0159052,0,10.0945,-0.00924337,-0.00372374,0.013,0.00378853,-0.000390743,0.00652479,0,0,10.0945,0,0,0,293,9.27582e-05
0.0165865,0.000103158,0.0165231,0,10.1791,-0.0096,-0.00386683,0.0135,0.00394163,-0.000412146,0.00677835,0,0,10.1791,0,0,0,293,9.27933e-05
0.0172052,0.000103993,0.0171413,0,10.2635,-0.00995666,-0.00400989,0.014,0.0040952,-0.000434008,0.00703197,0,0,10.2635,0,0,0,293,9.28263e-05
0.0178242,0.000104826,0.0177597,0,10.3477,-0.0103134,-0.00415292,0.0145,0.00424924,-0.000456328,0.00728565,0,0,10.3477,0,0,0,293,9.28583e-05
0.0184434,0.000105657,0.0183784,0,10.4317,-0.0106701,-0.00429592,0.015,0.00440375,-0.000479108,0.00753937,0,0,10.4317,0,0,0,293,9.28897e-05
0.0190627,0.000106487,0.0189972,0,10.5155,-0.0110268,-0.00443889,0.0155,0.00455871,-0.00050235,0.00779314,0,0,10.5155,0,0,0,293,9.29211e-05
0.0196823,0.000107316,0.0196162,0,10.5992,-0.0113836,-0.00458183,0.016,0.00471415,-0.000526053,0.00804695,0,0,10.5992,0,0,0,293,9.29525e-05
0.020302,0.000108167,0.0202354,0,10.6842,-0.0117404,-0.00472475,0.0165,0.00487002,-0.000550227,0.00830076,0,0,10.6842,0,0,0,293,9.29786e-05
0.0209219,0.000109017,0.0208548,0,10.7692,-0.0120973,-0.00486764,0.017,0.00502636,-0.000574865,0.00855461,0,0,10.7692,0,0,0,293,9.30101e-05
0.0215421,0.000109863,0.0214744,0,10.8538,-0.0124541,-0.0050105,0.0175,0.00518317,-0.000599969,0.0088085,0,0,10.8538,0,0,0,293,9.30423e-05
0.0221624,0.000110706,0.0220942,0,10.938,-0.012811,-0.00515332,0.018,0.00534046,-0.00062554,0.00906243,0,0,10.938,0,0,0,293,9.30747e-05
0.022783,0.000111534,0.0227143,0,11.02,-0.013168,-0.00529611,0.0185,0.00549822,-0.000651579,0.00931643,0,0,11.02,0,0,0,293,9.31094e-05
0.0234038,0.000112358,0.0233345,0,11.1017,-0.013525,-0.00543887,0.019,0.00565646,-0.000678088,0.00957046,0,0,11.1017,0,0,0,293,9.31422e-05
0.0240248,0.000113179,0.023955,0,11.1831,-0.013882,-0.00558159,0.0195,0.00581517,-0.000705067,0.00982454,0,0,11.1831,0,0,0,293,9.31751e-05
0.024646,0.000113997,0.0245757,0,11.2641,-0.014239,-0.00572428,0.02,0.00597436,-0.000732516,0.0100787,0,0,11.2641,0,0,0,293,9.32083e-05
0.0252674,0.00011481,0.0251966,0,11.3448,-0.0145961,-0.00586693,0.0205,0.00613402,-0.000760438,0.0103328,0,0,11.3448,0,0,0,293,9.32416e-05
0.025889,0.00011562,0.0258177,0,11.4251,-0.0149532,-0.00600955,0.021,0.00629416,-0.000788834,0.010587,0,0,11.4251,0,0,0,293,9.32753e-05
0.0265109,0.000116425,0.026439,0,11.5051,-0.0153104,-0.00615213,0.0215,0.00645478,-0.000817703,0.0108413,0,0,11.5051,0,0,0,293,9.33091e-05
0.0271329,0.000117227,0.0270606,0,11.5846,-0.0156676,-0.00629468,0.022,0.00661588,-0.000847049,0.0110956,0,0,11.5846,0,0,0,293,9.33431e-05
0.0277552,0.000118024,0.0276824,0,11.6637,-0.0160248,-0.00643719,0.0225,0.00677746,-0.000876871,0.0113499,0,0,11.6637,0,0,0,293,9.33773e-05
0.0283777,0.000118817,0.0283044,0,11.7425,-0.0163821,-0.00657967,0.023,0.00693952,-0.00090717,0.0116043,0,0,11.7425,0,0,0,293,9.34118e-05
0.0290005,0.000119605,0.0289266,0,11.8207,-0.0167394,-0.00672211,0.0235,0.00710207,-0.000937949,0.0118587,0,0,11.8207,0,0,0,293,9.34465e-05
