EVM,Mode 1,Mode 2
0,0,0
0.000976075,2.57177e+11,8.11519e-12
0.00198167,3.92879e+11,8.50591e-12
0.002984,5.50228e+11,8.50709e-12
0.00398517,7.30337e+11,8.50934e-12
0.00498591,9.37289e+11,8.51377e-12
0.00598661,1.17105e+12,8.52201e-12
0.00698727,1.43128e+12,8.53694e-12
0.0079879,1.718e+12,8.56338e-12
0.00898848,2.03144e+12,8.60935e-12
0.00998909,2.37097e+12,8.68789e-12
0.0109897,2.73679e+12,8.82003e-12
0.0119902,3.12893e+12,9.03913e-12
0.0129907,3.54371e+12,9.37656e-12
0.0139914,3.98685e+12,9.95046e-12
0.014992,4.4555e+12,1.08649e-11
0.0159926,4.94973e+12,1.23035e-11
0.0169931,5.46944e+12,1.45401e-11
0.0179939,6.0135e+12,1.77891e-11
0.0189942,6.57997e+12,2.28779e-11
0.019995,7.17411e+12,3.02813e-11
0.0209952,7.79036e+12,4.16417e-11
0.021996,8.434e+12,5.78321e-11
0.0229963,9.09869e+12,8.21895e-11
0.023997,9.78719e+12,1.16323e-10
0.0249976,1.05018e+13,1.67293e-10
0.0259985,1.12408e+13,2.36542e-10
0.0269986,1.19997e+13,3.36086e-10
0.0279995,1.27853e+13,4.71735e-10
0.0289998,1.359e+13,6.59149e-10
0.0300005,1.44167e+13,9.22571e-10
0.0310013,1.52706e+13,1.27337e-09
0.0320015,1.61419e+13,1.74773e-09
0.0330021,1.70354e+13,2.39991e-09
0.0340029,1.79552e+13,3.25097e-09
0.0350034,1.88889e+13,4.40518e-09
0.0360039,1.98484e+13,5.89268e-09
0.0370041,2.08297e+13,7.90991e-09
0.038005,2.18329e+13,1.04554e-08
0.0390054,2.28508e+13,1.37434e-08
0.0400059,2.38891e+13,1.80595e-08
0.0410068,2.49519e+13,2.35008e-08
0.0420074,2.60253e+13,3.04224e-08
0.0430081,2.71214e+13,3.92004e-08
0.0440088,2.82361e+13,5.02834e-08
0.0450094,2.93689e+13,6.42066e-08
0.0460101,3.0519e+13,8.16202e-08
0.0470107,3.1687e+13,1.03301e-07
0.0480114,3.28723e+13,1.30182e-07
0.0490121,3.40746e+13,1.63368e-07
0.0500128,3.52936e+13,2.04184e-07
0.0510135,3.65287e+13,2.54176e-07
0.0520142,3.77799e+13,3.15186e-07
0.053015,3.90465e+13,3.89348e-07
0.0540159,4.03255e+13,4.79149e-07
0.0550165,4.16218e+13,5.87528e-07
0.0560173,4.29328e+13,7.179e-07
0.0570182,4.4255e+13,8.74109e-07
0.0580189,4.55934e+13,1.06077e-06
0.0590196,4.69456e+13,1.28306e-06
0.0600203,4.83112e+13,1.54698e-06
0.0610212,4.96865e+13,1.8592e-06
0.0620219,5.10709e+13,2.22e-06
0.0630223,5.24807e+13,2.65188e-06
0.0640232,5.38967e+13,3.15898e-06
0.0650241,5.53221e+13,3.75224e-06
0.0660253,5.67535e+13,4.44391e-06
0.0670261,5.81993e+13,5.24855e-06
0.0680269,5.96554e+13,6.18219e-06
0.0690278,6.11216e+13,7.26283e-06
0.0700287,6.25966e+13,8.51002e-06
0.0710295,6.40815e+13,9.94656e-06
0.0720304,6.55756e+13,1.15966e-05
0.0730313,6.70782e+13,1.3488e-05
0.0740324,6.85846e+13,1.56495e-05
0.0750332,7.00986e+13,1.80562e-05
0.0760341,7.16276e+13,2.0858e-05
0.0770351,7.31604e+13,2.40405e-05
0.078036,7.46994e+13,2.76474e-05
0.0790369,7.62479e+13,3.17279e-05
0.0800378,7.78008e+13,3.63332e-05
0.0810387,7.93593e+13,4.15192e-05
0.08204,8.09186e+13,4.73466e-05
0.0830409,8.24869e+13,5.3882e-05
0.0840418,8.4058e+13,6.10364e-05
0.085043,8.56363e+13,6.92016e-05
0.086044,8.72184e+13,7.83071e-05
0.0870448,8.8806e+13,9.74786e-05
0.0880455,9.03846e+13,0.000142462
0.089047,9.19645e+13,0.000189677
0.0900479,9.35597e+13,0.00024185
0.0910481,9.56965e+13,0.000324433
0.0920488,9.72787e+13,0.000413237
0.0930488,9.88485e+13,0.000519347
0.0940498,1.00416e+14,0.000643614
0.0950503,1.01985e+14,0.000774742
0.0960511,1.03557e+14,0.000916266
0.097052,1.05116e+14,0.0010799
0.0980532,1.0668e+14,0.00125507
0.099054,1.08234e+14,0.00143787
0.100055,1.09791e+14,0.00162728
0.101056,1.11346e+14,0.00182648
0.102057,1.12899e+14,0.00204451
0.103059,1.14435e+14,0.00229152
0.10406,1.15976e+14,0.00254168
0.105062,1.17505e+14,0.00280946
0.106063,1.19029e+14,0.00310192
0.107065,1.2054e+14,0.00341038
0.108066,1.22051e+14,0.00372104
0.109067,1.23554e+14,0.00405569
0.110068,1.25057e+14,0.00440371
0.111068,1.26553e+14,0.00476659
