EVM,Mode 1,Mode 2
0,0,0
0.00048765,2.14154e+11,1.28394e-11
0.000987226,2.69472e+11,4.76252e-11
0.00148765,3.32126e+11,1.10749e-10
0.00198823,4.01212e+11,2.13024e-10
0.00248879,4.76416e+11,3.71108e-10
0.00298923,5.58246e+11,6.14914e-10
0.00348968,6.46433e+11,9.84653e-10
0.0039901,7.41064e+11,1.53782e-09
0.00449049,8.42102e+11,2.35624e-09
0.00499078,9.49844e+11,3.55725e-09
0.00549116,1.06369e+12,5.30116e-09
0.00599152,1.18385e+12,7.8129e-09
0.00649191,1.31016e+12,1.13023e-08
0.00699227,1.44217e+12,1.62445e-08
0.0074925,1.58077e+12,2.32068e-08
0.00799276,1.72554e+12,3.29497e-08
0.00849303,1.87643e+12,4.64972e-08
0.0089933,2.03337e+12,6.52157e-08
0.00949359,2.1963e+12,9.09206e-08
0.00999388,2.36514e+12,1.26005e-07
0.0104944,2.53897e+12,1.73544e-07
0.0109948,2.71835e+12,2.37559e-07
0.011495,2.90433e+12,3.23382e-07
0.0119954,3.09581e+12,4.37707e-07
0.0124958,3.29161e+12,5.89105e-07
0.012996,3.49417e+12,7.88799e-07
0.0134964,3.70196e+12,1.05054e-06
0.0139968,3.91499e+12,1.39192e-06
0.0144971,4.13283e+12,1.83498e-06
0.0149973,4.3558e+12,2.41998e-06
0.0154977,4.58445e+12,3.156e-06
0.0159982,4.8177e+12,4.04142e-06
0.0164984,5.05264e+12,5.25115e-06
0.0169988,5.29572e+12,6.76586e-06
0.0174989,5.54199e+12,8.67006e-06
0.0179992,5.79313e+12,1.10612e-05
0.0184995,6.0487e+12,1.40516e-05
0.0189999,6.30786e+12,1.7771e-05
0.0195003,6.57117e+12,2.23795e-05
0.0200005,6.83914e+12,2.80663e-05
0.0205008,7.11118e+12,3.50559e-05
0.0210012,7.38632e+12,4.36014e-05
0.0215016,7.66513e+12,5.40063e-05
0.0220018,7.94818e+12,6.66212e-05
0.0225022,8.23405e+12,8.18391e-05
0.0230025,8.52298e+12,0.000100112
0.0235028,8.81559e+12,0.000125736
0.0240032,9.10999e+12,0.000163631
0.0245034,9.40378e+12,0.000211512
0.0250038,9.70145e+12,0.000272757
0.0255041,9.99944e+12,0.000345813
0.0260044,1.02998e+13,0.000434167
0.0265046,1.06033e+13,0.000535483
0.0270051,1.09052e+13,0.000649703
0.0275057,1.12093e+13,0.000772859
0.028006,1.15136e+13,0.000913198
0.0285064,1.18183e+13,0.00107434
0.029007,1.2121e+13,0.00125553
0.0295073,1.2424e+13,0.00145523
0.0300077,1.27289e+13,0.00167015
0.030508,1.30293e+13,0.00192163
0.0310083,1.33288e+13,0.00219712
