EVM,Mode 1
0,0
0,0
0.000193582,0
0.00038914,1.4388e-05
0.000596955,0.00012095
0.00081001,0.000274671
0.00102431,0.000444577
0.0012389,0.000621825
0.00145362,0.000802984
0.00166841,0.000986687
0.00188326,0.00117221
0.00209816,0.00135911
0.00231309,0.00154714
0.00252807,0.00173616
0.00274308,0.00192603
0.00295813,0.00211667
0.00317322,0.00230799
0.00338833,0.00249992
0.00360348,0.0026924
0.00381866,0.00288538
0.00403388,0.00307884
0.00424912,0.00327274
0.0044644,0.00346705
0.00467971,0.00366178
0.00489505,0.00385689
0.00511041,0.00405237
0.00532581,0.00424822
0.00554123,0.00444442
0.00575669,0.00464097
0.00597217,0.00483786
0.00618768,0.00503508
0.00640321,0.00523262
0.00661877,0.00543048
0.00683436,0.00562865
0.00704997,0.00582713
0.00726562,0.00602589
0.00748129,0.00622493
0.00769698,0.00642427
0.0079127,0.00662389
0.00812844,0.00682379
0.0083442,0.00702396
0.00855999,0.00722441
0.0087758,0.00742512
0.00899163,0.0076261
0.00920748,0.00782733
0.00942335,0.00802882
0.00963925,0.00823056
0.00985517,0.00843255
0.0100711,0.00863478
0.0102871,0.00883724
0.010503,0.00903994
0.010719,0.00924287
0.0108717,0.00939922
0.0108775,0.00945566
0.0108807,0.00948805
0.0108829,0.00951032
0.0108845,0.00952712
0.0108858,0.00954055
0.0108869,0.0095517
0.0108877,0.00956122
0.0108885,0.00956951
0.0108892,0.00957684
0.0108898,0.00958342
0.0108903,0.00958937
0.0108908,0.0095948
0.0108913,0.0095998
0.0108917,0.00960442
0.0108921,0.00960873
0.0108925,0.00961275
0.0108928,0.00961652
0.0108931,0.00962008
0.0108934,0.00962344
0.0108937,0.00962662
0.010894,0.00962965
0.0108942,0.00963253
0.0108945,0.00963528
0.0108947,0.00963791
0.0108949,0.00964043
0.0108951,0.00964285
0.0108954,0.00964518
0.0108956,0.00964742
0.0108957,0.00964957
0.0108959,0.00965166
0.0108961,0.00965367
0.0108963,0.00965562
0.0108964,0.0096575
0.0108966,0.00965933
0.0108968,0.0096611
0.0108969,0.00966282
0.0108971,0.00966449
0.0108972,0.00966612
0.0108973,0.0096677
0.0108975,0.00966925
0.0108976,0.00967075
0.0108977,0.00967221
0.0108979,0.00967364
0.010898,0.00967504
0.0108981,0.0096764
0.0108982,0.00967774
0.0108983,0.00967904
0.0108984,0.00968031
0.0108985,0.00968156
0.0108987,0.00968278
0.0108988,0.00968398
0.0108989,0.00968515
0.010899,0.0096863
0.0108991,0.00968743
0.0108992,0.00968853
0.0108992,0.00968962
0.0108993,0.00969068
0.0108994,0.00969173
0.0108995,0.00969275
0.0108996,0.00969376
0.0108997,0.00969476
