EVM,Mode 1
0,0
0,10
0.000193582,10
0.00038914,10.0287
0.000596955,10.2386
0.00081001,10.5372
0.00102431,10.8619
0.0012389,11.1946
0.00145362,11.5285
0.00166841,11.861
0.00188326,12.1905
0.00209816,12.5163
0.00231309,12.8379
0.00252807,13.1551
0.00274308,13.4678
0.00295813,13.7758
0.00317322,14.0791
0.00338833,14.3775
0.00360348,14.671
0.00381866,14.9598
0.00403388,15.2436
0.00424912,15.5227
0.0044644,15.797
0.00467971,16.0666
0.00489505,16.3315
0.00511041,16.5918
0.00532581,16.8475
0.00554123,17.0987
0.00575669,17.3455
0.00597217,17.5879
0.00618768,17.826
0.00640321,18.0599
0.00661877,18.2895
0.00683436,18.515
0.00704997,18.7365
0.00726562,18.9539
0.00748129,19.1674
0.00769698,19.377
0.0079127,19.5828
0.00812844,19.7849
0.0083442,19.9832
0.00855999,20.1779
0.0087758,20.369
0.00899163,20.5566
0.00920748,20.7408
0.00942335,20.9215
0.00963925,21.0989
0.00985517,21.273
0.0100711,21.4438
0.0102871,21.6115
0.010503,21.7761
0.010719,21.9375
0.0108717,22.0601
0.0108775,22.1041
0.0108807,22.1293
0.0108829,22.1466
0.0108845,22.1597
0.0108858,22.1701
0.0108869,22.1788
0.0108877,22.1861
0.0108885,22.1925
0.0108892,22.1982
0.0108898,22.2033
0.0108903,22.2079
0.0108908,22.2121
0.0108913,22.216
0.0108917,22.2195
0.0108921,22.2229
0.0108925,22.226
0.0108928,22.2289
0.0108931,22.2316
0.0108934,22.2342
0.0108937,22.2367
0.010894,22.239
0.0108942,22.2412
0.0108945,22.2433
0.0108947,22.2454
0.0108949,22.2473
0.0108951,22.2492
0.0108954,22.2509
0.0108956,22.2527
0.0108957,22.2543
0.0108959,22.2559
0.0108961,22.2575
0.0108963,22.259
0.0108964,22.2604
0.0108966,22.2618
0.0108968,22.2632
0.0108969,22.2645
0.0108971,22.2658
0.0108972,22.267
0.0108973,22.2683
0.0108975,22.2694
0.0108976,22.2706
0.0108977,22.2717
0.0108979,22.2728
0.010898,22.2739
0.0108981,22.2749
0.0108982,22.276
0.0108983,22.277
0.0108984,22.2779
0.0108985,22.2789
0.0108987,22.2798
0.0108988,22.2808
0.0108989,22.2817
0.010899,22.2825
0.0108991,22.2834
0.0108992,22.2843
0.0108992,22.2851
0.0108993,22.2859
0.0108994,22.2867
0.0108995,22.2875
0.0108996,22.2883
0.0108997,22.289
0.0108998,22.2898
0.0108999,22.2905
0.0108999,22.2912
0.0109,22.2919
0.0109001,22.2926
0.0109002,22.2933
0.0109003,22.294
0.0109003,22.2947
0.0109004,22.2953
0.0109005,22.296
0.0109005,22.2966
0.0109006,22.2973
0.0109007,22.2979
0.0109008,22.2985
0.0109008,22.2991
0.0109009,22.2997
0.010901,22.3003
0.010901,22.3009
0.0109011,22.3014
0.0109012,22.302
