EVM,EQEE,EQPE,ETM,SVM,E11,E22,E33,E23,E13,E12,S11,S22,S33,S23,S13,S12,TempK,EQSR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0
0.000193582,6.81175e-05,0,0.000204591,9.65939,-9.71159e-05,-9.64647e-05,-1.0048e-20,3.82178e-07,-8.85644e-08,9.57121e-08,0,0,9.65939,0,0,0,780,0.000193582
0.00038914,0.000130178,6.2814e-06,0.000409183,18.5028,-0.000195298,-0.000193839,-6.57627e-20,7.74457e-07,-8.08782e-08,2.10465e-07,0,0,18.5028,0,0,0,770,0.000195558
0.000596955,0.000155307,5.05519e-05,0.000613774,22.2926,-0.000300585,-0.000296363,-2.23728e-19,1.26956e-06,3.86299e-07,6.53621e-08,0,0,22.2926,0,0,0,760,0.000207818
0.00081001,0.000164968,0.000111092,0.000818365,23.9247,-0.000409467,-0.000400523,-5.59909e-19,1.73397e-06,8.51346e-07,-7.67382e-07,0,0,23.9247,0,0,0,750,0.000213063
0.00102431,0.000171482,0.000175097,0.00102296,25.0468,-0.000519384,-0.000504885,-1.09642e-18,2.15622e-06,1.11723e-06,-1.77444e-06,0,0,25.0468,0,0,0,740,0.000214307
0.0012389,0.000177396,0.000240014,0.00122755,26.0489,-0.000629663,-0.000609176,-1.78458e-18,2.57187e-06,1.24332e-06,-2.76308e-06,0,0,26.0489,0,0,0,730,0.000214601
0.00145362,0.000183131,0.000305293,0.00143214,27.0019,-0.000740216,-0.000713312,-2.64365e-18,2.98626e-06,1.30858e-06,-3.71438e-06,0,0,27.0019,0,0,0,720,0.000214724
0.00166841,0.000188765,0.000370811,0.00163673,27.9271,-0.000850998,-0.000817286,-3.68109e-18,3.37442e-06,1.34546e-06,-4.65406e-06,0,0,27.9271,0,0,0,710,0.000214796
0.00188326,0.000194315,0.000436503,0.00184132,28.8301,-0.000961956,-0.000921139,-4.82203e-18,3.72546e-06,1.37713e-06,-5.60121e-06,0,0,28.8301,0,0,0,700,0.000214852
0.00209816,0.00019979,0.000502332,0.00204591,29.7136,-0.00107304,-0.00102491,-6.0612e-18,4.0475e-06,1.41812e-06,-6.56709e-06,0,0,29.7136,0,0,0,690,0.000214902
0.00231309,0.000205192,0.00056829,0.0022505,30.5812,-0.00118424,-0.00112861,-7.43204e-18,4.35118e-06,1.47542e-06,-7.55606e-06,0,0,30.5812,0,0,0,680,0.000214943
0.00252807,0.000210522,0.000634369,0.0024551,31.4335,-0.00129551,-0.00123227,-8.88605e-18,4.64379e-06,1.55329e-06,-8.56841e-06,0,0,31.4335,0,0,0,670,0.000214981
0.00274308,0.000215776,0.000700564,0.00265969,32.2711,-0.00140685,-0.0013359,-1.04654e-17,4.9292e-06,1.65531e-06,-9.60422e-06,0,0,32.2711,0,0,0,660,0.000215018
0.00295813,0.000220953,0.000766871,0.00286428,33.0943,-0.00151824,-0.00143951,-1.2187e-17,5.20921e-06,1.78436e-06,-1.06646e-05,0,0,33.0943,0,0,0,650,0.000215054
0.00317322,0.000226055,0.000833292,0.00306887,33.9052,-0.00162966,-0.00154312,-1.40323e-17,5.48493e-06,1.94196e-06,-1.17506e-05,0,0,33.9052,0,0,0,640,0.000215085
0.00338833,0.000231076,0.000899819,0.00327346,34.7021,-0.00174111,-0.00164674,-1.59767e-17,5.75747e-06,2.12883e-06,-1.28637e-05,0,0,34.7021,0,0,0,630,0.000215119
0.00360348,0.000236016,0.000966448,0.00347805,35.4855,-0.00185259,-0.00175036,-1.80409e-17,6.02815e-06,2.34465e-06,-1.40048e-05,0,0,35.4855,0,0,0,620,0.000215152
0.00381866,0.000240877,0.00103318,0.00368264,36.2556,-0.00196409,-0.001854,-2.01818e-17,6.29823e-06,2.58849e-06,-1.51741e-05,0,0,36.2556,0,0,0,610,0.000215185
0.00403388,0.000245658,0.00110001,0.00388723,37.0127,-0.00207561,-0.00195764,-2.24412e-17,6.56886e-06,2.85897e-06,-1.63714e-05,0,0,37.0127,0,0,0,600,0.000215217
0.00424912,0.000250359,0.00116693,0.00409183,37.757,-0.00218716,-0.00206129,-2.48175e-17,6.84091e-06,3.15455e-06,-1.75963e-05,0,0,37.757,0,0,0,590,0.000215248
0.0044644,0.000254982,0.00123396,0.00429642,38.4887,-0.00229872,-0.00216495,-2.73006e-17,7.11502e-06,3.47369e-06,-1.88478e-05,0,0,38.4887,0,0,0,580,0.000215279
0.00467971,0.000259526,0.00130107,0.00450101,39.208,-0.00241031,-0.00226861,-2.99387e-17,7.39159e-06,3.81495e-06,-2.01253e-05,0,0,39.208,0,0,0,570,0.00021531
0.00489505,0.000263993,0.00136828,0.0047056,39.9152,-0.00252192,-0.00237229,-3.27074e-17,7.67078e-06,4.17703e-06,-2.1428e-05,0,0,39.9152,0,0,0,560,0.00021534
0.00511041,0.000268384,0.00143558,0.00491019,40.6103,-0.00263356,-0.00247597,-3.56312e-17,7.95261e-06,4.55872e-06,-2.27552e-05,0,0,40.6103,0,0,0,550,0.000215369
0.00532581,0.000272699,0.00150297,0.00511478,41.2936,-0.00274521,-0.00257966,-3.86917e-17,8.23697e-06,4.95891e-06,-2.41059e-05,0,0,41.2936,0,0,0,540,0.000215398
0.00554123,0.000276939,0.00157045,0.00531937,41.9652,-0.00285688,-0.00268336,-4.1799e-17,8.52372e-06,5.37657e-06,-2.54794e-05,0,0,41.9652,0,0,0,530,0.000215427
0.00575669,0.000281106,0.00163801,0.00552396,42.6255,-0.00296857,-0.00278706,-4.50032e-17,8.81267e-06,5.81074e-06,-2.68749e-05,0,0,42.6255,0,0,0,520,0.000215455
0.00597217,0.0002852,0.00170566,0.00572856,43.2744,-0.00308029,-0.00289078,-4.83406e-17,9.10364e-06,6.26052e-06,-2.82914e-05,0,0,43.2744,0,0,0,510,0.000215483
0.00618768,0.000289223,0.0017734,0.00593315,43.9123,-0.00319202,-0.0029945,-5.17938e-17,9.39646e-06,6.72508e-06,-2.9728e-05,0,0,43.9123,0,0,0,500,0.00021551
0.00640321,0.000293176,0.00184122,0.00613774,44.5392,-0.00330377,-0.00309822,-5.53564e-17,9.69099e-06,7.20368e-06,-3.11837e-05,0,0,44.5392,0,0,0,490,0.000215537
0.00661877,0.000297059,0.00190912,0.00634233,45.1554,-0.00341555,-0.00320195,-5.90148e-17,9.98713e-06,7.69562e-06,-3.26576e-05,0,0,45.1554,0,0,0,480,0.000215563
0.00683436,0.000300874,0.0019771,0.00654692,45.7609,-0.00352734,-0.00330569,-6.27678e-17,1.02848e-05,8.20029e-06,-3.41488e-05,0,0,45.7609,0,0,0,470,0.000215589
0.00704997,0.000304621,0.00204516,0.00675151,46.3559,-0.00363915,-0.00340944,-6.66314e-17,1.05838e-05,8.71712e-06,-3.56566e-05,0,0,46.3559,0,0,0,460,0.000215615
0.00726562,0.000308298,0.00211329,0.0069561,46.9386,-0.00375098,-0.00351319,-7.0574e-17,1.08842e-05,9.24532e-06,-3.71796e-05,0,0,46.9386,0,0,0,450,0.000215646
